ID,SRCID,SNKID
0,11,52
1,11,9
2,55,10
3,29,27
4,29,27
5,29,27
6,29,27
7,31,55
8,31,55
9,31,55
10,31,55
11,78,29
12,78,29
13,78,29
14,78,29
15,78,29
16,78,29
17,78,29
18,78,29
19,78,29
20,78,29
21,78,29
22,78,29
23,38,31
24,38,31
25,38,31
26,38,31
27,38,31
28,38,10
29,38,10
30,61,52
31,61,52
32,29,57
33,29,57
34,31,55
35,31,55
36,29,54
37,29,54
38,61,33
39,31,11
40,31,11
41,29,27
42,29,27
43,31,10
44,31,10
45,29,27
46,55,31
47,29,27
48,29,27
49,29,27
50,31,28
51,31,28
52,31,28
53,29,9
54,29,9
55,29,9
56,29,9
57,29,9
58,29,9
59,31,10
60,31,10
61,31,10
62,31,10
63,31,10
64,31,10
65,55,38
66,57,78
67,57,78
68,57,78
69,57,78
70,29,27
71,29,27
72,29,27
73,31,55
74,31,55
75,31,55
76,55,11
77,55,11
78,55,11
79,55,11
80,57,54
81,57,54
82,57,54
83,57,54
84,55,52
85,55,52
86,55,52
87,57,53
88,57,53
89,57,53
90,55,10
91,55,10
92,57,9
93,57,9
94,11,52
95,11,52
96,54,53
97,54,53
98,11,54
99,11,54
100,11,54
101,11,54
102,11,54
103,11,54
104,11,54
105,11,54
106,11,54
107,11,54
108,28,11
109,28,11
110,54,27
111,54,27
112,11,10
113,11,10
114,11,10
115,11,10
116,11,10
117,11,10
118,11,10
119,54,9
120,54,9
121,54,9
122,54,9
123,54,9
124,54,9
125,54,9
126,78,21
127,78,21
128,78,21
129,78,21
130,78,21
131,38,10
132,10,52
133,10,52
134,21,53
135,21,53
136,38,52
137,31,53
138,27,43
139,10,40
140,10,38
141,9,29
142,27,53
143,55,52
144,78,27
145,78,27
146,78,27
147,78,27
148,78,27
149,78,27
150,38,28
151,38,28
152,38,28
153,27,53
154,27,53
155,28,52
156,28,52
157,27,38
158,57,78
159,57,78
160,57,78
161,78,22
162,78,22
163,78,22
164,78,22
165,78,22
166,78,22
167,78,22
168,78,22
169,78,22
170,78,22
171,78,22
172,78,22
173,78,22
174,78,22
175,78,22
176,78,22
177,78,22
178,78,22
179,78,22
180,78,22
181,78,22
182,78,22
183,78,22
184,78,22
185,78,22
186,38,21
187,38,21
188,38,21
189,38,21
190,38,21
191,38,21
192,38,21
193,38,21
194,38,21
195,38,21
196,38,21
197,38,21
198,38,21
199,38,21
200,78,53
201,78,53
202,78,53
203,78,53
204,78,53
205,78,53
206,78,53
207,78,53
208,78,53
209,78,53
210,78,53
211,78,53
212,78,53
213,38,52
214,38,52
215,38,52
216,38,52
217,38,52
218,38,52
219,38,52
220,78,9
221,78,9
222,78,9
223,78,9
224,78,9
225,78,9
226,78,9
227,78,9
228,78,9
229,78,9
230,78,9
231,78,9
232,78,9
233,78,9
234,78,9
235,78,9
236,78,9
237,78,9
238,78,9
239,78,9
240,78,9
241,78,9
242,78,9
243,78,9
244,78,9
245,38,10
246,38,10
247,38,10
248,38,10
249,38,10
250,38,10
251,38,10
252,38,10
253,38,10
254,38,10
255,38,10
256,38,10
257,38,10
258,38,10
259,38,10
260,38,10
261,38,10
262,38,10
263,38,10
264,38,10
265,38,10
266,38,10
267,38,10
268,38,21
269,38,21
270,11,22
271,11,22
272,11,22
273,16,21
274,29,43
275,29,43
276,31,40
277,31,40
278,27,53
279,27,53
280,27,53
281,27,53
282,55,52
283,55,52
284,55,52
285,55,52
286,10,31
287,10,31
288,9,38
289,9,38
290,38,52
291,38,52
292,38,52
293,38,52
294,38,52
295,31,53
296,31,53
297,31,53
298,31,53
299,31,53
300,38,10
301,38,10
302,38,10
303,38,10
304,38,10
305,38,10
306,11,9
307,11,9
308,11,9
309,11,9
310,11,9
311,11,9
312,38,52
313,38,52
314,57,53
315,57,53
316,10,38
317,10,38
318,9,57
319,9,57
320,53,57
321,53,57
322,52,57
323,52,57
324,53,31
325,53,31
326,52,55
327,52,55
328,53,31
329,53,31
330,52,38
331,52,38
332,38,52
333,38,52
334,38,52
335,38,52
336,57,53
337,57,53
338,57,53
339,57,53
340,29,57
341,31,55
342,10,52
343,10,52
344,10,52
345,10,52
346,10,52
347,10,52
348,9,53
349,9,53
350,9,53
351,9,53
352,9,53
353,9,53
354,10,38
355,9,57
356,10,38
357,10,38
358,10,38
359,9,11
360,9,11
361,9,11
362,10,38
363,9,57
364,11,10
365,11,10
366,11,9
367,11,9
368,38,10
369,38,10
370,38,10
371,43,21
372,43,21
373,43,21
374,43,21
375,43,21
376,43,21
377,43,21
378,29,27
379,29,27
380,31,10
381,31,10
382,27,28
383,57,31
384,29,27
385,29,27
386,31,28
387,31,28
388,29,9
389,31,10
390,11,10
391,54,9
392,78,38
393,78,36
394,78,36
395,78,36
396,78,36
397,78,36
398,78,36
399,78,36
400,78,36
401,78,36
402,78,36
403,78,36
404,78,36
405,78,36
406,78,36
407,78,36
408,78,36
409,78,10
410,78,10
411,78,9
412,78,9
413,78,54
414,78,54
415,78,54
416,78,54
417,78,54
418,78,54
419,40,36
420,40,36
421,40,36
422,40,36
423,40,36
424,40,36
425,40,36
426,40,36
427,40,36
428,40,10
429,40,10
430,40,10
431,40,9
432,40,9
433,40,9
434,38,11
435,38,11
436,38,36
437,38,36
438,38,36
439,38,36
440,38,36
441,38,36
442,38,36
443,38,36
444,38,10
445,38,10
446,43,38
447,43,38
448,29,57
449,29,57
450,29,57
451,31,11
452,31,16
453,27,78
454,27,78
455,27,78
456,27,78
457,27,78
458,27,78
459,27,38
460,27,38
461,27,11
462,27,11
463,27,11
464,27,22
465,27,16
466,28,21
467,11,21
468,11,21
469,11,22
470,11,22
471,11,22
472,11,22
473,11,22
474,53,22
475,52,21
476,10,31
477,9,29
478,55,31
479,55,21
480,55,21
481,57,78
482,57,78
483,57,78
484,57,78
485,57,78
486,57,78
487,57,78
488,57,40
489,57,40
490,57,23
491,57,29
492,57,11
493,57,11
494,57,9
495,57,9
496,57,9
497,57,9
498,57,9
499,57,9
500,57,9
501,57,55
502,57,55
503,57,55
504,57,54
505,57,54
506,57,16
507,54,10
508,21,78
509,21,78
510,21,78
511,21,78
512,22,11
513,22,11
514,22,11
515,22,11
516,22,11
517,22,11
518,22,57
519,22,57
520,16,27
521,16,27
522,16,27
523,16,27
524,16,27
525,16,27
526,16,27
527,16,27
528,16,27
529,57,33
530,6,55
531,33,78
532,33,10
533,78,45
534,78,61
535,27,4
536,27,4
537,57,43
538,57,5
539,57,5
540,57,5
541,57,5
542,57,5
543,57,5
544,43,78
545,43,78
546,78,57
547,78,36
548,78,36
549,78,36
550,78,36
551,78,36
552,78,36
553,78,36
554,78,36
555,78,36
556,78,36
557,78,36
558,78,36
559,78,36
560,78,36
561,78,36
562,78,36
563,78,36
564,78,36
565,78,36
566,78,36
567,78,36
568,78,36
569,78,36
570,78,36
571,78,36
572,78,36
573,78,36
574,78,36
575,78,36
576,78,36
577,78,36
578,78,36
579,78,36
580,78,36
581,4,78
582,78,84
583,78,84
584,4,35
585,21,45
586,4,36
587,4,84
588,4,84
589,4,84
590,40,36
591,40,36
592,40,36
593,40,36
594,40,36
595,40,36
596,38,36
597,38,36
598,22,46
599,113,39
600,113,39
601,113,39
602,113,39
603,38,36
604,4,36
605,40,57
606,40,36
607,40,36
608,40,36
609,40,36
610,40,36
611,4,35
612,4,36
613,4,36
614,45,52
615,45,52
616,4,35
617,4,84
618,4,36
619,4,84
620,4,36
621,4,36
622,40,36
623,40,36
624,40,36
625,38,36
626,40,36
627,46,5
628,40,55
629,40,36
630,40,36
631,4,27
632,4,55
633,4,27
634,4,55
635,4,35
636,4,36
637,4,84
638,4,84
639,4,84
640,4,36
641,4,36
642,4,36
643,45,43
644,4,36
645,4,35
646,4,36
647,40,36
648,40,36
649,40,36
650,40,36
651,40,36
652,38,36
653,38,36
654,4,36
655,4,36
656,57,29
657,40,57
658,40,36
659,40,55
660,40,36
661,4,27
662,4,55
663,40,36
664,40,36
665,40,36
666,43,36
667,40,55
668,43,36
669,43,36
670,43,36
671,43,36
672,43,36
673,43,36
674,43,36
675,43,36
676,43,36
677,43,36
678,43,36
679,31,11
680,43,36
681,43,36
682,40,36
683,38,36
684,55,4
685,31,11
686,31,11
687,31,11
688,31,11
689,31,11
690,31,11
691,31,11
692,31,11
693,29,54
694,29,54
695,29,54
696,29,54
697,29,54
698,29,54
699,29,54
700,29,54
701,11,38
702,11,38
703,54,78
704,54,78
705,31,10
706,29,78
707,49,27
708,49,27
709,49,27
710,55,11
711,45,5
712,45,5
713,45,5
714,5,46
715,5,46
716,5,46
717,31,28
718,31,28
719,29,27
720,29,27
721,5,50
722,5,49
723,10,52
724,10,52
725,27,53
726,27,53
727,11,52
728,11,52
729,11,52
730,11,52
731,11,52
732,11,52
733,11,52
734,11,52
735,11,52
736,54,53
737,54,53
738,54,53
739,54,53
740,54,53
741,54,53
742,54,53
743,54,53
744,54,53
745,2,87
746,11,5
747,54,5
748,38,35
749,78,18
750,45,38
751,45,38
752,45,38
753,45,38
754,45,38
755,46,78
756,46,78
757,46,78
758,46,78
759,46,78
760,31,21
761,31,21
762,31,21
763,31,21
764,29,27
765,29,27
766,29,27
767,29,27
768,55,5
769,55,5
770,45,87
771,27,11
772,21,54
773,27,35
774,55,18
775,27,45
776,55,61
777,55,45
778,27,46
779,31,55
780,31,55
781,29,57
782,29,57
783,5,45
784,5,45
785,5,45
786,5,45
787,55,11
788,55,11
789,55,11
790,57,54
791,57,54
792,57,54
793,55,35
794,55,35
795,55,35
796,57,18
797,57,18
798,55,52
799,55,52
800,57,53
801,57,53
802,78,57
803,78,57
804,38,61
805,38,61
806,78,61
807,78,61
808,31,61
809,31,61
810,31,61
811,31,61
812,31,61
813,31,61
814,31,61
815,29,45
816,29,45
817,29,45
818,29,45
819,29,45
820,29,45
821,29,45
822,11,28
823,11,28
824,54,27
825,54,27
826,45,11
827,45,11
828,45,11
829,46,54
830,46,54
831,46,54
832,35,61
833,18,45
834,52,57
835,52,57
836,53,27
837,53,27
838,45,61
839,45,61
840,45,61
841,45,61
842,45,61
843,45,61
844,45,61
845,4,55
846,61,35
847,61,35
848,61,35
849,61,35
850,45,18
851,45,18
852,45,18
853,45,18
854,50,7
855,50,7
856,50,7
857,49,7
858,49,7
859,49,7
860,50,6
861,50,6
862,49,6
863,49,6
864,50,4
865,49,4
866,5,50
867,5,50
868,5,50
869,5,49
870,5,49
871,5,49
872,6,31
873,45,7
874,45,7
875,46,7
876,46,7
877,45,6
878,46,6
879,45,4
880,46,4
881,45,5
882,5,46
883,5,46
884,5,46
885,6,31
886,50,46
887,49,46
888,5,25
889,5,25
890,50,25
891,49,25
892,38,55
893,78,45
894,38,61
895,78,45
896,4,40
897,4,38
898,49,5
899,49,5
900,55,61
901,9,53
902,9,53
903,9,53
904,5,45
905,45,49
906,5,45
907,45,49
908,45,35
909,45,35
910,45,35
911,46,18
912,46,18
913,46,18
914,31,55
915,31,55
916,29,27
917,29,27
918,35,61
919,18,45
920,5,86
921,86,38
922,5,45
923,86,55
924,86,45
925,86,45
926,86,46
927,86,46
928,4,55
929,5,27
930,31,4
931,29,5
932,31,11
933,29,54
934,5,45
935,5,45
936,5,45
937,5,45
938,31,61
939,29,45
940,55,45
941,49,57
942,61,40
943,57,43
944,31,28
945,29,27
946,31,45
947,29,61
948,5,45
949,5,45
950,5,45
951,5,45
952,35,31
953,18,29
954,35,40
955,18,43
956,55,35
957,57,18
958,45,31
959,61,29
960,28,11
961,9,54
962,5,61
963,5,61
964,45,35
965,18,49
966,61,35
967,61,18
968,35,28
969,18,27
970,11,45
971,54,61
972,11,10
973,54,9
974,50,45
975,50,45
976,50,45
977,50,45
978,11,59
979,54,57
980,10,55
981,50,55
982,6,57
983,50,61
984,50,61
985,6,55
986,5,4
987,5,4
988,5,4
989,5,4
990,5,4
991,5,4
992,5,4
993,5,4
994,5,4
995,5,4
996,5,4
997,5,4
998,2,45
999,2,45
1000,2,45
1001,2,45
1002,2,45
1003,2,45
1004,2,45
1005,2,45
1006,2,46
1007,2,46
1008,2,46
1009,2,46
1010,2,46
1011,2,46
1012,2,46
1013,2,46
1014,25,45
1015,25,45
1016,25,45
1017,25,45
1018,25,45
1019,25,45
1020,25,45
1021,25,45
1022,25,45
1023,25,45
1024,25,46
1025,25,46
1026,25,46
1027,25,46
1028,25,46
1029,25,46
1030,25,46
1031,25,46
1032,25,46
1033,25,46
1034,86,45
1035,86,45
1036,86,45
1037,86,45
1038,6,35
1039,86,46
1040,86,46
1041,86,46
1042,86,46
1043,82,45
1044,82,45
1045,82,45
1046,82,45
1047,82,45
1048,82,45
1049,82,45
1050,82,45
1051,6,35
1052,4,61
1053,4,38
1054,4,38
1055,4,38
1056,4,40
1057,4,40
1058,4,40
1059,4,61
1060,38,55
1061,45,4
1062,5,55
1063,5,50
1064,57,54
1065,57,54
1066,5,50
1067,5,50
1068,5,55
1069,5,31
1070,45,29
1071,5,50
1072,45,49
1073,5,45
1074,5,45
1075,5,55
1076,5,55
1077,45,11
1078,4,5
1079,4,5
1080,4,5
1081,61,31
1082,5,55
1083,5,55
1084,5,55
1085,5,45
1086,5,45
1087,5,45
1088,50,45
1089,50,45
1090,50,45
1091,50,45
1092,50,45
1093,50,45
1094,50,45
1095,49,61
1096,49,61
1097,49,61
1098,38,11
1099,38,11
1100,45,11
1101,45,11
1102,45,11
1103,45,11
1104,46,18
1105,46,18
1106,45,35
1107,45,35
1108,55,45
1109,55,45
1110,3,5
1111,3,5
1112,3,5
1113,3,5
1114,4,35
1115,4,36
1116,4,35
1117,4,36
1118,43,54
1119,43,54
1120,52,57
1121,52,57
1122,40,45
1123,40,49
1124,28,36
1125,28,36
1126,4,57
1127,4,57
1128,4,57
1129,4,27
1130,4,78
1131,57,78
1132,4,55
1133,5,22
1134,5,22
1135,5,22
1136,5,22
1137,5,22
1138,34,5
1139,34,5
1140,34,45
1141,34,45
1142,34,78
1143,34,78
1144,34,78
1145,34,78
1146,78,5
1147,78,5
1148,78,45
1149,78,45
1150,4,78
1151,4,78
1152,4,78
1153,4,78
1154,78,33
1155,10,33
1156,38,47
1157,38,9
1158,38,47
1159,38,21
1160,38,21
1161,43,31
1162,58,18
1163,43,9
1164,43,9
1165,43,9
1166,38,10
1167,38,10
1168,38,10
1169,40,18
1170,43,18
1171,43,9
1172,43,9
1173,38,10
1174,38,10
1175,40,31
1176,40,31
1177,38,29
1178,38,29
1179,40,33
1180,40,33
1181,40,33
1182,40,33
1183,40,33
1184,40,33
1185,38,33
1186,38,33
1187,38,33
1188,38,33
1189,38,33
1190,38,33
1191,55,40
1192,55,40
1193,57,38
1194,57,38
1195,5,29
1196,4,31
1197,5,35
1198,4,35
1199,78,57
1200,78,57
1201,38,55
1202,38,55
1203,82,118
1204,43,57
1205,43,57
1206,43,57
1207,47,55
1208,10,38
1209,10,27
1210,54,43
1211,54,10
1212,54,57
1213,54,43
1214,9,21
1215,29,38
1216,29,47
1217,29,47
1218,21,55
1219,22,11
1220,22,11
1221,22,57
1222,31,16
1223,31,55
1224,53,27
1225,53,27
1226,53,27
1227,53,27
1228,11,27
1229,11,57
1230,11,57
1231,11,27
1232,11,10
1233,11,10
1234,11,38
1235,11,38
1236,11,38
1237,11,29
1238,11,29
1239,57,23
1240,57,23
1241,57,16
1242,27,53
1243,27,57
1244,27,55
1245,27,53
1246,27,53
1247,27,53
1248,27,16
1249,27,16
1250,28,52
1251,21,55
1252,38,9
1253,5,49
1254,5,46
1255,5,49
1256,5,50
1257,5,61
1258,5,49
1259,5,50
1260,5,61
1261,5,25
1262,5,50
1263,5,49
1264,5,45
1265,5,50
1266,5,35
1267,5,45
1268,5,61
1269,5,25
1270,5,46
1271,5,46
1272,5,61
1273,5,25
1274,5,50
1275,5,50
1276,5,45
1277,5,25
1278,5,42
1279,5,30
1280,5,61
1281,5,50
1282,5,12
1283,5,42
1284,5,49
1285,5,30
1286,5,49
1287,5,50
1288,5,45
1289,5,58
1290,5,12
1291,5,30
1292,5,42
1293,5,61
1294,5,49
1295,5,46
1296,5,2
1297,5,25
1298,5,45
1299,5,50
1300,5,46
1301,5,30
1302,5,50
1303,5,42
1304,5,18
1305,5,42
1306,5,18
1307,5,50
1308,5,61
1309,5,61
1310,5,49
1311,5,42
1312,5,50
1313,4,45
1314,4,41
1315,4,35
1316,4,37
1317,4,42
1318,4,35
1319,4,49
1320,4,46
1321,4,61
1322,4,45
1323,4,49
1324,3,42
1325,3,56
1326,3,49
1327,3,61
1328,3,25
1329,3,50
1330,3,39
1331,3,42
1332,3,25
1333,3,45
1334,3,49
1335,3,41
1336,3,49
1337,3,4
1338,3,25
1339,3,50
1340,3,42
1341,3,56
1342,3,49
1343,3,49
1344,3,45
1345,3,49
1346,3,42
1347,3,56
1348,3,49
1349,3,61
1350,3,49
1351,3,39
1352,6,49
1353,6,50
1354,6,49
1355,6,50
1356,6,46
1357,7,49
1358,7,49
1359,7,50
1360,7,45
1361,7,50
1362,7,46
1363,7,49
1364,7,49
1365,7,50
1366,2,39
1367,45,50
1368,45,42
1369,45,35
1370,45,50
1371,45,5
1372,45,50
1373,45,18
1374,45,6
1375,45,5
1376,45,42
1377,45,5
1378,45,56
1379,45,56
1380,45,56
1381,45,41
1382,45,50
1383,45,39
1384,45,42
1385,45,41
1386,45,50
1387,45,5
1388,45,56
1389,45,56
1390,45,18
1391,45,42
1392,45,50
1393,45,5
1394,46,32
1395,46,18
1396,46,5
1397,46,49
1398,46,12
1399,46,49
1400,46,49
1401,46,49
1402,46,49
1403,46,49
1404,46,5
1405,61,2
1406,61,56
1407,61,56
1408,61,50
1409,61,49
1410,61,49
1411,61,56
1412,61,49
1413,61,30
1414,61,56
1415,61,30
1416,61,39
1417,61,50
1418,61,56
1419,61,56
1420,61,35
1421,61,49
1422,61,50
1423,61,56
1424,61,5
1425,61,56
1426,61,35
1427,61,49
1428,61,2
1429,61,49
1430,61,39
1431,61,39
1432,61,56
1433,61,39
1434,61,58
1435,61,39
1436,61,56
1437,61,39
1438,61,39
1439,61,56
1440,61,56
1441,61,4
1442,61,56
1443,61,30
1444,61,39
1445,61,56
1446,61,39
1447,61,56
1448,56,50
1449,56,2
1450,56,50
1451,58,5
1452,58,4
1453,58,5
1454,58,46
1455,58,4
1456,58,46
1457,58,4
1458,58,46
1459,25,5
1460,25,49
1461,25,49
1462,25,49
1463,25,49
1464,25,50
1465,25,5
1466,25,49
1467,25,50
1468,25,61
1469,25,50
1470,50,4
1471,50,45
1472,50,3
1473,50,46
1474,50,46
1475,50,33
1476,50,45
1477,50,7
1478,50,46
1479,50,5
1480,50,33
1481,50,5
1482,50,5
1483,50,39
1484,50,5
1485,50,4
1486,50,5
1487,50,5
1488,50,5
1489,50,5
1490,49,12
1491,49,5
1492,49,12
1493,49,12
1494,49,5
1495,49,12
1496,49,5
1497,49,12
1498,49,12
1499,49,12
1500,49,5
1501,49,32
1502,49,30
1503,49,32
1504,49,5
1505,18,60
1506,18,32
1507,18,30
1508,18,5
1509,18,60
1510,18,58
1511,18,42
1512,18,32
1513,18,32
1514,18,5
1515,18,30
1516,18,42
1517,18,30
1518,18,30
1519,18,12
1520,18,12
1521,18,58
1522,18,49
1523,18,42
1524,18,42
1525,18,42
1526,18,30
1527,18,42
1528,60,30
1529,60,30
1530,60,39
1531,60,39
1532,12,5
1533,12,5
1534,12,5
1535,12,30
1536,12,30
1537,12,5
1538,12,5
1539,35,39
1540,35,39
1541,35,5
1542,35,4
1543,35,50
1544,35,5
1545,35,39
1546,35,39
1547,35,39
1548,35,50
1549,35,5
1550,35,42
1551,34,42
1552,37,4
1553,17,5
1554,17,5
1555,17,49
1556,17,49
1557,17,46
1558,17,5
1559,17,4
1560,17,45
1561,17,5
1562,17,45
1563,17,49
1564,17,45
1565,17,49
1566,32,35
1567,32,35
1568,32,35
1569,32,58
1570,32,61
1571,32,49
1572,32,49
1573,32,5
1574,32,5
1575,32,35
1576,32,61
1577,32,45
1578,32,61
1579,32,61
1580,32,5
1581,32,58
1582,32,35
1583,32,61
1584,32,61
1585,32,61
1586,30,42
1587,30,42
1588,30,5
1589,30,33
1590,30,42
1591,30,46
1592,30,42
1593,30,5
1594,30,61
1595,30,5
1596,30,42
1597,33,34
1598,33,50
1599,33,61
1600,39,45
1601,39,42
1602,39,50
1603,39,35
1604,39,50
1605,39,45
1606,39,50
1607,39,50
1608,39,61
1609,39,3
1610,39,35
1611,39,50
1612,39,45
1613,39,45
1614,39,50
1615,39,50
1616,39,50
1617,39,35
1618,39,30
1619,39,61
1620,42,58
1621,42,45
1622,42,46
1623,42,58
1624,42,5
1625,42,58
1626,42,3
1627,42,58
1628,42,58
1629,42,46
1630,42,58
1631,42,58
1632,42,45
1633,42,45
1634,82,118
1635,82,118
1636,82,118
1637,82,118
1638,82,118
1639,82,118
1640,82,118
1641,53,9
1642,53,9
1643,53,9
1644,38,21
1645,38,11
1646,38,21
1647,38,21
1648,38,21
1649,38,21
1650,38,27
1651,38,21
1652,38,21
1653,38,27
1654,38,21
1655,38,21
1656,38,27
1657,38,21
1658,38,21
1659,38,40
1660,38,11
1661,38,55
1662,38,28
1663,38,21
1664,38,21
1665,38,36
1666,38,36
1667,43,31
1668,43,31
1669,43,27
1670,43,27
1671,43,27
1672,43,27
1673,43,27
1674,43,27
1675,43,27
1676,43,27
1677,43,11
1678,43,11
1679,43,11
1680,43,11
1681,43,11
1682,43,57
1683,43,57
1684,43,57
1685,43,31
1686,43,31
1687,43,31
1688,43,31
1689,43,31
1690,43,31
1691,43,31
1692,43,31
1693,43,31
1694,43,31
1695,43,31
1696,43,31
1697,43,57
1698,43,57
1699,43,29
1700,43,29
